PhigrOS_SATURN Virtual OS,,,,,,,,,
收集品,内容,收集时间,保管单位,等级,长度,款式,碎数研编号,章节,编号
《极星卫》剧本•二十五,,156/08/26,Gino,main,,,,外传章节极星卫,0450
《极星卫》剧本•二十六,,156/08/26,Gino,main,,,,外传章节极星卫,0451
《极星卫》剧本•二十七,,156/08/26,Gino,main,,,,外传章节极星卫,0452
《极星卫》剧本•二十八,,156/08/26,Gino,main,,,,外传章节极星卫,0453
《极星卫》剧本•二十九,,156/08/26,Gino,main,,,,外传章节极星卫,0454
《极星卫》剧本•三十,,156/08/26,Gino,main,,,,外传章节极星卫,0455
《极星卫》剧本•三十一,,156/08/26,Gino,main,,,,外传章节极星卫,0456
《极星卫》剧本•三十二,,156/08/26,Gino,main,,,,外传章节极星卫,0457
《极星卫》剧本•三十三,,156/08/26,Gino,main,,,,外传章节极星卫,0458
《极星卫》剧本•三十四,,156/08/26,Gino,main,,,,外传章节极星卫,0459
破译•《极星卫》彩蛋,,156/08/31,Gino,key,,,,外传章节极星卫,0423
莫比乌斯的回信,,156/08/31,鸠,key,,,,外传章节极星卫,0424
Diary Alpa 220 02 01,,220/02/01,Alpa,main,,,,额外章节,0417
Diary Alpa 220 02 01•线索一,,220/02/01,Alpa,main,,,,额外章节,0418
Diary Alpa 220 02 01•线索二,,220/02/01,Alpa,main,,,,额外章节,0419
摘录•莫比乌斯工作室日志•一,,242/11/17,Gino,main,,,,额外章节,0407
摘录•莫比乌斯工作室日志•二,,242/11/17,Gino,main,,,,额外章节,0408
摘录•莫比乌斯工作室日志•三,,242/11/17,Gino,main,,,,额外章节,0409
隼的行船记录仪•一,,243/01/20,鸠,main,,,,额外章节,0410
隼的行船记录仪•二,,243/01/20,鸠,main,,,,额外章节,0411
隼的行船记录仪•三,,243/01/20,鸠,main,,,,额外章节,0412
镜像之镜,,256/08/31,莲渡,souvenir,,,,第四章管道迷宫,0135
镜像之镜•线索一,,256/08/31,莲渡,key,,,,第四章管道迷宫,0136
谜题保管所:00096,,256/08/32,谜题保管所,souvenir,,,,第四章管道迷宫,0137
伯尼丝的神奇挎包,,261/04/04,伯尼丝,bold,,,,支线章节一忘忧宫,0271
真理之珠,,271/08/15,碎数研,souvenir,,,,支线章节一忘忧宫,0286
《拉瓦钵的覆灭》,,271/08/17,伯尼丝,key,,,1874-0-009,支线章节一忘忧宫,0257
《拉瓦钵的覆灭》•线索一,,271/08/17,伯尼丝,key,,,,支线章节一忘忧宫,0258
《拉瓦钵的覆灭》•线索二,,271/08/17,伯尼丝,key,,,,支线章节一忘忧宫,0259
摘录•守护日志•机关枪,,411/01/05,deathMark,souvenir,,,,第二章废土之下,0088
摘录•守护日志•机关枪•线索一,,417/01/05,deathMark,souvenir,,,,第二章废土之下,0089
摘录•守护日志•机关枪•线索二,,422/01/05,deathMark,souvenir,,,,第二章废土之下,0090
机械手套,,467/02/15,莫波利斯,bold,,,,支线章节三盗乐行,0374
机械手套•线索一,,467/02/15,莫波利斯,bold,,,,支线章节三盗乐行,0375
街机游戏《彩虹之战》,,469/03/07,魔女会议,souvenir,,,,第四章管道迷宫,0131
街机游戏《彩虹之战》•线索一,,469/03/07,魔女会议,key,,,,第四章管道迷宫,0132
街机游戏《彩虹之战》•线索二,,469/03/07,魔女会议,main,,,,第四章管道迷宫,0133
摘录•守护日志•机关枪•线索三,,470/01/05,deathMark,souvenir,,,,第二章废土之下,0091
机械手套•线索二,,482/04/07,莫波利斯,bold,,,,支线章节三盗乐行,0376
机械手套•线索三,,482/04/07,克劳尔,bold,,,,支线章节三盗乐行,0377
机械手套•线索四,,610/11/24,克劳尔,bold,,,,支线章节三盗乐行,0378
豌豆食谱合集,,632/07/03,雪梨膏,nonsence,,,,第六章方舟蜃景,0204
Poem M2,,650/02/29,碎数研,main,,,,第四章管道迷宫,0104
Poem 3ere,,650/02/29,碎数研,main,,,,第四章管道迷宫,0105
Poem 4Y0,,650/02/29,碎数研,main,,,,第四章管道迷宫,0106
Poem The 5no,,650/02/29,碎数研,main,,,,第四章管道迷宫,0107
摘录•碎数研档案•幽蓝国,,650/02/29,碎数研,key,,,,第四章管道迷宫,0112
谜题保管所:00096•线索一,,650/02/29,碎数研,souvenir,,,,第四章管道迷宫,0138
谜题保管所:00096•线索二,,650/02/29,碎数研,souvenir,,,,第四章管道迷宫,0139
波提切利原型机,,663/02/23,莫波利斯,souvenir,,,,支线章节三盗乐行,0360
波提切利原型机•线索一,,663/02/23,莫波利斯,key,,,,支线章节三盗乐行,0361
报道：《晒月亮的女孩》,,663/09/01,碎数研,souvenir,,,,支线章节三盗乐行,0325
报道：《相机里的真假月亮》,,664/02/21,碎数研,souvenir,,,,支线章节三盗乐行,0323
散文：《有关旋律的哲思》,,664/08/01,碎数研,souvenir,,,,支线章节三盗乐行,0324
报道：《神秘黑点与浪漫少女的背后：波提切利相机的秘密》,,665/05/07,碎数研,souvenir,,,,支线章节三盗乐行,0381
档案•无相乡调查报告,,666/05/32,克劳尔,key,,,,支线章节四无相乡,0382
影像带：《洛基的世界》,,668/03/14,碎数研,souvenir,,,,支线章节三盗乐行,0353
报道：《洛基的世界影评》,,668/03/14,碎数研,souvenir,,,,支线章节三盗乐行,0358
【影像】直播录屏,,668/07/03,碎数研,souvenir,21min49s,,,支线章节三盗乐行,0328
【影像】直播录屏•线索一,,668/07/03,碎数研,souvenir,23min58s,,,支线章节三盗乐行,0329
【影像】拍摄者采访记录存档,,668/08/02,碎数研,souvenir,7min26s,,,支线章节三盗乐行,0326
文玩核桃,,668/11/09,碎数研,souvenir,,,,支线章节三盗乐行,0330
木质八音盒,,669/01/04,碎数研,souvenir,,,,支线章节三盗乐行,0327
吉克•莱斯波斯-Year372,,669/04/07,碎数研,souvenir,,,,支线章节三盗乐行,0331
报道：《酒吧辩手，市长想谈谈》,,670/02/23,碎数研,main,,,,支线章节三盗乐行,0332
报道：《酒吧辩手，市长想谈谈》•线索一,,670/02/23,碎数研,main,,,,支线章节三盗乐行,0333
报道：《酒吧辩手，市长想谈谈》•线索二,,670/02/23,碎数研,key,,,,支线章节三盗乐行,0334
帖子：《天桥东！发现天狗！》,,670/05/20,碎数研,souvenir,,,,支线章节三盗乐行,0336
小说：《困在街道中的老人》,,671/01/01,碎数研,souvenir,,,,支线章节三盗乐行,0335
碎数研-report-BUBD-22-1,,671/02/01,碎数研,souvenir,,,,第四章管道迷宫,0113
报道：《对大众心理学研究的反叛：当他人主宰你的存在》,,671/03/22,碎数研,souvenir,,,,支线章节三盗乐行,0380
碎数研-report-BUBD-22-2,,671/07/23,碎数研,souvenir,,,,第四章管道迷宫,0114
碎数研-log-BUBD-951,,671/07/23,碎数研,souvenir,,,,第四章管道迷宫,0116
碎数研-report-BUBD-23-1,,672/01/20,碎数研,souvenir,,,,第四章管道迷宫,0115
碎数研-log-BUBD-952,,672/01/20,碎数研,key,,,,第四章管道迷宫,0117
【影像】街头的Fuli,,672/07/20,Fuli,souvenir,11min03s,,,支线章节三盗乐行,0337
摘录•守护日志•机关枪•线索四,,672/08/05,deathMark,souvenir,,,,支线章节三盗乐行,0338
量子同步终端,,673/07/17,Fuli,bold,,,,支线章节三盗乐行,0339
量子同步终端•线索一,,673/07/17,Fuli,bold,,,,支线章节三盗乐行,0340
量子同步终端•线索三,,673/07/17,Fuli,bold,,,,支线章节三盗乐行,0342
量子同步终端•线索四,,673/07/17,Fuli,bold,,,,支线章节三盗乐行,0343
隔音耳机,,673/07/17,Fuli,bold,,,,支线章节三盗乐行,0364
隔音耳机•线索四,,673/07/23,Fuli,bold,,,,支线章节三盗乐行,0368
量子同步终端•线索二,,673/07/25,Fuli,bold,,,,支线章节三盗乐行,0341
喵喵茶,,673/07/25,Fuli,souvenir,,,,支线章节三盗乐行,0344
小熊娃娃•线索四,,673/07/25,Fuli,main,,,,支线章节三盗乐行,0352
【影像】日蚀之月,,673/07/25,碎数研,main,7d,,,支线章节三盗乐行,0359
报道：《律动星城市监控网现已恢复，失灵原因疑似与月食有关》,,673/07/25,碎数研,souvenir,,,,支线章节三盗乐行,0379
旁白：流言,,673/07/30,旁观者,main,,,,支线章节三盗乐行,0313
旁白：怪盗,,673/07/30,旁观者,main,,,,支线章节三盗乐行,0314
旁白：恍惚,,673/07/30,旁观者,main,,,,支线章节三盗乐行,0315
旁白：黑月,,673/07/30,旁观者,main,,,,支线章节三盗乐行,0316
旁白：From 1 to 500000,,673/07/30,旁观者,main,,,,支线章节三盗乐行,0317
幻梦 之一,,673/07/30,旁观者,main,,,,支线章节三盗乐行,0318
幻梦 之二,,673/07/30,旁观者,main,,,,支线章节三盗乐行,0319
673：律动星盗乐行事件 亚空间副本,,673/08/04,碎数研,main,,,327-0-001,支线章节三盗乐行,0320
673：律动星盗乐行事件 亚空间副本•线索一,,673/08/06,碎数研,main,,,327-1-001,支线章节三盗乐行,0321
673：律动星盗乐行事件 亚空间副本•线索二,,673/09/17,碎数研,main,,,327-4-001,支线章节三盗乐行,0322
黑月疗养院员工需知,,673/10/12,碎数研,souvenir,,,327-5-000,支线章节三盗乐行,0345
黑月疗养院员工需知•线索一,,673/10/13,碎数研,souvenir,,,327-5-001,支线章节三盗乐行,0346
黑月疗养院员工需知•线索二,,673/10/13,碎数研,souvenir,,,327-5-002,支线章节三盗乐行,0347
小熊娃娃,,673/11/04,碎数研,souvenir,,,,支线章节三盗乐行,0348
小熊娃娃•线索一,,673/11/04,碎数研,souvenir,,,,支线章节三盗乐行,0349
小熊娃娃•线索二,,673/11/04,碎数研,souvenir,,,,支线章节三盗乐行,0350
小熊娃娃•线索三,,673/11/14,碎数研,souvenir,,,,支线章节三盗乐行,0351
影像带：《洛基的世界》•线索一,,673/11/25,碎数研,souvenir,,,,支线章节三盗乐行,0354
影像带：《洛基的世界》•线索二,,673/11/26,碎数研,souvenir,,,,支线章节三盗乐行,0355
影像带：《洛基的世界》•线索三,,673/12/18,碎数研,souvenir,,,327-7-002,支线章节三盗乐行,0356
影像带：《洛基的世界》•线索四,,673/12/18,碎数研,souvenir,,,327-7-002,支线章节三盗乐行,0357
波提切利原型机•线索二,,674/01/09,碎数研,souvenir,,,,支线章节三盗乐行,0362
波提切利原型机•线索三,,674/01/10,碎数研,souvenir,,,,支线章节三盗乐行,0363
隔音耳机•线索一,,674/01/26,碎数研,souvenir,,,,支线章节三盗乐行,0365
隔音耳机•线索二,,674/01/27,碎数研,souvenir,,,,支线章节三盗乐行,0366
隔音耳机•线索三,,674/01/28,碎数研,souvenir,,,,支线章节三盗乐行,0367
黑月疗养院日志,,674/02/09,碎数研,key,,,,支线章节三盗乐行,0369
黑月疗养院日志•线索一,,674/02/09,碎数研,souvenir,,,,支线章节三盗乐行,0370
黑月疗养院日志•线索二,,674/02/10,碎数研,souvenir,,,,支线章节三盗乐行,0371
黑月疗养院日志•线索三,,674/02/10,碎数研,souvenir,,,,支线章节三盗乐行,0372
黑月疗养院日志•线索四,,674/02/11,碎数研,souvenir,,,,支线章节三盗乐行,0373
《盗月行》调查报告,,674/02/23,碎数研,main,,,327-9-002,支线章节三盗乐行,0312
克洛诺斯的鸽子,,689/03/07,雪梨膏,bold,,,,第六章方舟蜃景,0211
罐装雪梨膏,,722/11/30,豌豆,bold,,,,第六章方舟蜃景,0213
萨芙的运动相机,,730/09/16,萨芙,bold,,,,支线章节一忘忧宫,0275
战士•六•人类,,740/04/11,Dlyro,souvenir,,,,第三章幽蓝边界,0102
伯尼丝的研究笔记•线索一,,743/01/32,伯尼丝,bold,,,1874-0-003,支线章节一忘忧宫,0268
伯尼丝的研究笔记•线索二,,743/02/03,伯尼丝,bold,,,1874-1-003,支线章节一忘忧宫,0269
虚妄之匣,,743/02/05,艾达,bold,,,1874-0-001,支线章节一忘忧宫,0262
虚妄之匣•线索一,,743/02/07,艾达,bold,,,1874-1-001,支线章节一忘忧宫,0263
艾达的超震动小刀,,743/02/08,艾达,bold,,,1874-0-002,支线章节一忘忧宫,0265
艾达的超震动小刀•线索一,,743/02/12,艾达,bold,,,1874-1-002,支线章节一忘忧宫,0266
定向绳索,,743/02/12,碎数研,souvenir,,,,支线章节一忘忧宫,0279
伯尼丝的研究笔记•线索三,,743/04/02,伯尼丝,bold,,,1874-2-003,支线章节一忘忧宫,0270
萨芙的运动相机•线索一,,743/04/03,萨芙,bold,,,1874-0-005,支线章节一忘忧宫,0276
萨芙的运动相机•线索二,,743/04/03,萨芙,bold,,,1874-1-005,支线章节一忘忧宫,0277
定向绳索•线索一,,743/04/03,碎数研,souvenir,,,1874-1-006,支线章节一忘忧宫,0280
身份证件,,743/04/03,碎数研,souvenir,,,,支线章节一忘忧宫,0282
身份证件•线索一,,743/04/03,碎数研,souvenir,,,1874-0-006,支线章节一忘忧宫,0283
身份证件•线索二,,743/04/03,碎数研,souvenir,,,1874-2-006,支线章节一忘忧宫,0284
真理之珠•线索一,,743/04/03,碎数研,souvenir,,,,支线章节一忘忧宫,0287
真理之珠•线索二,,743/04/03,碎数研,souvenir,,,1874-0-007,支线章节一忘忧宫,0288
窃听器,,743/04/03,帕拉斯,souvenir,,,,支线章节一忘忧宫,0289
窃听器•线索一,,743/04/03,艾达,souvenir,,,1874-0-008,支线章节一忘忧宫,0290
窃听器•线索二,,743/04/03,克劳尔,souvenir,,,1874-1-008,支线章节一忘忧宫,0291
旁白：忘忧宫,,743/04/04,旁观者,main,,,,支线章节一忘忧宫,0252
旁白：奥德修斯港,,743/04/04,旁观者,main,,,,支线章节一忘忧宫,0253
旁白：克洛诺斯,,743/04/04,旁观者,main,,,,支线章节一忘忧宫,0254
旁白：奇迹之森,,743/04/04,旁观者,main,,,,支线章节一忘忧宫,0255
旁白：迷宫尽头,,743/04/04,旁观者,main,,,,支线章节一忘忧宫,0256
《拉瓦钵的覆灭》•线索三,,743/04/04,伯尼丝,key,,,,支线章节一忘忧宫,0260
《拉瓦钵的覆灭》•线索四,,743/04/04,伯尼丝,key,,,,支线章节一忘忧宫,0261
虚妄之匣•线索二,,743/04/04,艾达,bold,,,1874-2-001,支线章节一忘忧宫,0264
伯尼丝的神奇挎包•线索一,,743/04/04,伯尼丝,bold,,,1874-0-004,支线章节一忘忧宫,0272
伯尼丝的神奇挎包•线索二,,743/04/04,伯尼丝,bold,,,1874-1-004,支线章节一忘忧宫,0273
伯尼丝的神奇挎包•线索三,,743/04/04,伯尼丝,bold,,,1874-2-004,支线章节一忘忧宫,0274
定向绳索•线索二,,743/04/04,碎数研,souvenir,,,1874-3-006,支线章节一忘忧宫,0281
身份证件•线索三,,743/04/04,碎数研,souvenir,,,1874-4-006,支线章节一忘忧宫,0285
【影像】时光的废墟,,743/04/05,鸠,souvenir,,,,支线章节二弭刻日,0301
【影像】哈娜,,743/04/05,克劳尔,souvenir,,,,支线章节二弭刻日,0302
伯尼丝的研究笔记,,743/05/20,碎数研,bold,,,,支线章节一忘忧宫,0267
萨芙的运动相机•线索三,,743/05/20,碎数研,bold,,,1874-2-005,支线章节一忘忧宫,0278
奥德修斯港出海记录,,743/05/21,碎数研,souvenir,,,,支线章节一忘忧宫,0292
奥德修斯港出海记录•线索一,,743/05/21,碎数研,souvenir,,,1874-0-009,支线章节一忘忧宫,0293
奥德修斯港出海记录•线索二,,743/05/21,碎数研,souvenir,,,1874-1-009,支线章节一忘忧宫,0294
纸片,,743/05/22,碎数研,key,,,,支线章节一忘忧宫,0295
收容报告•小报,,767/06/01,中之层收容所,nonsense,,,,额外章节,0383
收容报告•红色蝴蝶结,,767/06/01,中之层收容所,nonsense,,,,额外章节,0384
收容报告•红色蝴蝶结•线索一,,767/06/01,中之层收容所,nonsense,,,,额外章节,0385
收容报告•陶土花盆,,767/06/01,中之层收容所,nonsense,,,,额外章节,0386
收容报告•陶土花盆•线索一,,767/06/01,中之层收容所,nonsense,,,,额外章节,0387
收容报告•陶土花盆•线索二,,767/06/01,中之层收容所,nonsense,,,,额外章节,0388
收容报告•裙底之物,,767/06/01,中之层收容所,nonsense,,,,额外章节,0389
收容报告•裙底之物•线索一,,767/06/01,中之层收容所,nonsense,,,,额外章节,0390
登入权限：土星•线索一,,770/02/28,Gino,key,,,,第一章冰封世界,0039
诗笺#2,,770/02/29,deathMark,main,,,,第一章冰封世界,0003
录音笔Alpa,,770/02/29,鸠,bold,,,,第一章冰封世界,0008
【录音】山风,,770/02/29,鸠,souvenir,10min32s,,,第一章冰封世界,0012
两用摩托Trophon,,770/02/29,Gino,bold,,,,第一章冰封世界,0018
诗笺#3,,770/03/01,deathMark,main,,,,第一章冰封世界,0004
【录音】火锅,,770/03/01,鸠,souvenir,5min21s,,,第一章冰封世界,0014
宿舍钥匙,,770/03/01,鸠,souvenir,,,,第一章冰封世界,0025
第七小队徽章,,770/03/02,鸠,souvenir,,,,第一章冰封世界,0013
诗笺#5,,770/03/03,deathMark,main,,,,第一章冰封世界,0006
录音笔Alpa•线索一,,770/03/03,鸠,bold,,,,第一章冰封世界,0009
【录音】踩雪,,770/03/03,鸠,souvenir,,,,第一章冰封世界,0017
两用摩托Trophon•线索一,,770/03/03,Gino,bold,,,,第一章冰封世界,0019
梆笛,,770/03/03,Gino,bold,,,,第一章冰封世界,0023
【录音】黄莺亮翅,,770/03/03,鸠,souvenir,3min42s,,,第一章冰封世界,0024
空投小饼干,,770/03/04,第七巡逻队仓库/鸠,main,,,,第一章冰封世界,0022
诗笺#4,,770/03/06,deathMark,main,,,,第一章冰封世界,0005
录音笔Alpa•线索三,,770/03/06,鸠,bold,,,,第一章冰封世界,0011
两用摩托Trophon•线索二,,770/03/06,Gino,bold,,,,第一章冰封世界,0020
魇魉角,,770/03/07,鸠,souvenir,,,,第一章冰封世界,0026
电磁霰弹枪,,770/03/07,Gino,souvenir,,,,第一章冰封世界,0027
冰川美食汇,,770/03/09,Dlyro,souvenir,,,,第一章冰封世界,0043
冰川美食汇•线索一,,770/03/09,Dlyro,souvenir,,,,第一章冰封世界,0044
冰川美食汇•线索二,,770/03/09,Dlyro,souvenir,,,,第一章冰封世界,0045
冰川美食汇•线索三,,770/03/09,Dlyro,souvenir,,,,第一章冰封世界,0046
【录音】睡眠,,770/03/17,鸠,main,21min5s,,,第一章冰封世界,0015
【录音】睡眠•线索一,,770/03/17,鸠,main,,,,第一章冰封世界,0016
鱼篓,,770/03/17,鸠,souvenir,,,,第一章冰封世界,0028
【录音】鱼戏,,770/03/17,鸠,souvenir,5min21s,,,第一章冰封世界,0029
发,,770/03/23,Dlyro,souvenir,,,,第一章冰封世界,0030
病号服,,770/03/23,芬德斯,nonsense,,,,第一章冰封世界,0034
花柄小刀,,770/03/23,阿爽,bold,,,,第一章冰封世界,0035
锦囊,,770/03/26,Gino,main,,,,第一章冰封世界,0033
0327围剿令,,770/03/26,Dlyro,souvenir,,,,第一章冰封世界,0040
诗笺#1,,770/03/27,deathMark,main,,,,第一章冰封世界,0002
【影像】深井,,770/03/27,阿爽,souvenir,,,,第一章冰封世界,0036
魇皮纸377,,770/03/28,鸠,main,,,,第一章冰封世界,0041
魔术棒,,770/03/29,Kuzumi,souvenir,,,,第二章废土之下,0060
魇皮纸377•线索一,,770/03/31,鸠,main,,,,第一章冰封世界,0042
诗笺#6,,770/03/32,deathMark,main,,,,第一章冰封世界,0007
两用摩托Trophon•线索三,,770/03/32,Gino,bold,,,,第一章冰封世界,0021
【录音】黑洞,,770/03/32,鸠,main,1min1s,,,第一章冰封世界,0031
【影像】脂球,,770/03/32,鸠,souvenir,,,,第一章冰封世界,0032
【录音】光,,770/03/32,鸠,souvenir,1min13s,,,第一章冰封世界,0037
登入权限：土星,,770/03/32,Gino,key,,,,第一章冰封世界,0038
诗笺#7,,770/04/01,deathMark,main,,,,第二章废土之下,0047
诗笺#8,,770/04/01,deathMark,main,,,,第二章废土之下,0048
星星的碎片•冬,,770/04/01,鸠,nonsense,,,,第二章废土之下,0055
【录音】太平鼓,,770/04/01,鸠,main,5min23s,,,第二章废土之下,0059
诗笺#10,,770/04/01,deathMark,main,,,,第二章废土之下,0084
录音笔Alpa•线索四,,770/04/02,鸠,bold,,,,第二章废土之下,0067
【影像】涂鸦,,770/04/02,鸠,souvenir,,,,第二章废土之下,0080
诗笺#9,,770/04/03,deathMark,main,,,,第二章废土之下,0049
【录音】叫花鸡,,770/04/03,鸠,souvenir,3min35s,,,第二章废土之下,0063
绿色变异种,,770/04/03,Gino,souvenir,,,,第二章废土之下,0064
【影像】水塔,,770/04/03,鸠,souvenir,,,,第二章废土之下,0065
两用摩托Trophon•线索四,,770/04/03,Gino,bold,,,,第二章废土之下,0066
录音笔Alpa•线索五,,770/04/03,鸠,bold,,,,第二章废土之下,0068
锚,,770/04/03,阿爽,souvenir,,,,第二章废土之下,0083
【影像】堡垒,,770/04/03,Gino,key,,,,第二章废土之下,0086
【影像】巢栖道站•线索一,,770/04/03,鸠,main,,,,第二章废土之下,0087
【录音】晨,,770/04/04,鸠,main,53s,,,第二章废土之下,0069
【录音】晨•线索一,,770/04/04,鸠,main,,,,第二章废土之下,0070
五彩石,,770/04/04,Gino,souvenir,,,,第二章废土之下,0071
彩虹绘本,,770/04/04,鸠,key,,,,第二章废土之下,0072
拾荒者令牌,,770/04/05,Gino,souvenir,,,,第二章废土之下,0061
石林地图,,770/04/05,Gino,main,,,,第二章废土之下,0062
金属臂,,770/04/05,Kuzumi,souvenir,,,,第二章废土之下,0073
苦杏仁,,770/04/05,鸠,souvenir,,,,第二章废土之下,0074
收音机,,770/04/06,鸠,main,,,,第二章废土之下,0056
巴雷特外壳,,770/04/06,鸠,souvenir,,,,第二章废土之下,0077
Fuli雕像,,770/04/06,鸠,souvenir,,,,第二章废土之下,0078
收音机•线索二,,770/04/07,鸠,main,,,,第二章废土之下,0058
收音机•线索三,,770/04/07,鸠,souvenir,,,,第二章废土之下,0075
【影像】巢栖道站,,770/04/07,鸠,main,,,,第二章废土之下,0079
HQ004班次车票,,770/04/07,鸠,souvenir,,,,第二章废土之下,0081
液压剂,,770/04/07,Gino,souvenir,,,,第二章废土之下,0082
诗笺#11,,770/04/07,deathMark,main,,,,第二章废土之下,0085
诗笺#12•战士,,770/04/07,deathMark,main,,,,第三章幽蓝边界,0092
诗笺#13•夜之歌,,770/04/07,deathMark,main,,,,第三章幽蓝边界,0093
诗笺#14•橄榄树上,,770/04/07,deathMark,main,,,,第三章幽蓝边界,0094
诗笺#15•魔术师,,770/04/07,deathMark,main,,,,第三章幽蓝边界,0095
诗笺#16•流浪人,,770/04/07,deathMark,key,,,,第三章幽蓝边界,0096
【影像】Fuli Auto Shooter!,,770/04/09,Fuli,souvenir,,,,第二章废土之下,0076
诗笺#0,,770/05/21,镜,main,,,,第一章冰封世界,0001
里表舞厅,,770/05/21,鸠,souvenir,,,,第四章管道迷宫,0108
里表舞厅•线索一,,770/05/21,鸠,souvenir,,,,第四章管道迷宫,0109
里表舞厅•线索二,,770/05/21,鸠,main,,,,第四章管道迷宫,0110
迷猫•线索一,,770/05/21,Gino,souvenir,,,,第四章管道迷宫,0120
诗笺#17 Zer0,,770/05/23,deathMark,main,,,,第四章管道迷宫,0103
里表舞厅•线索三,,770/05/23,鸠,main,,,,第四章管道迷宫,0111
空投小饼干•线索一,,770/05/23,鸠,main,,,,第四章管道迷宫,0118
迷猫,,770/05/23,Gino,souvenir,,,,第四章管道迷宫,0119
管道迷宫,,770/05/26,鸠,main,,,,第四章管道迷宫,0121
管道迷宫•线索一,,770/05/26,鸠,main,,,,第四章管道迷宫,0122
管道迷宫•线索二,,770/05/26,鸠,main,,,,第四章管道迷宫,0123
街机游戏《催眠》,,770/05/26,鸠,souvenir,,HDP2-HTET,,第四章管道迷宫,0128
街机游戏《瓶瓶罐罐》,,770/05/26,鸠,souvenir,,HDP2-PPGG,,第四章管道迷宫,0129
游戏币,,770/05/26,Gino,main,,,,第四章管道迷宫,0140
管道迷宫•线索三,,770/05/27,鸠,main,,,,第四章管道迷宫,0124
街机游戏《Phigros》,,770/05/27,鸠,souvenir,,HDP2-PGSL,,第四章管道迷宫,0130
管道迷宫•线索四,,770/05/32,鸠,main,,,,第四章管道迷宫,0125
录音笔Alpa•线索六,,770/06/01,鸠,bold,,,,第四章管道迷宫,0134
游戏币•线索一,,770/06/04,Gino,main,,,,第四章管道迷宫,0141
诗笺#18 人•影•世,,770/06/04,deathMark,main,,,,第五章霓虹灯牌,0142
游戏币•线索二,,770/06/04,Gino,bold,,,,第五章霓虹灯牌,0149
两用摩托Trophon•线索五,,770/06/04,Gino,bold,,,,第五章霓虹灯牌,0150
旅馆房卡,,770/06/04,鸠,souvenir,,,,第五章霓虹灯牌,0151
便签板,,770/06/04,莲渡,bold,,,,第五章霓虹灯牌,0152
便签板•线索一,,770/06/04,鸠,bold,,,,第五章霓虹灯牌,0153
锈色羊角锤,,770/06/06,莲渡,souvenir,,,,第五章霓虹灯牌,0191
六色之虹,,770/06/12,Dlyro,key,,,,第五章霓虹灯牌,0157
